ArtistName,EditionNumber,TitleofWork,Year,PageNumberofImage,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,HeightofWorkinGardner(cm)*,WidthofWorkinGardner(cm),LengthofText(cm),WidthofText(cm),ExtraTextLength(cm),ExtraTextWidth(cm),AreaofWorkinGardner(cm^2),AreaofText(cm^2),ExtraTextArea(cm^2),TotalAreaText(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,14,Vir Heroicus Sublimis,2013,906,33,American,Male,White,Not Hispanic or Latinx,8.6,19.3,9.8,9.3,,,165.98,91.14,0,91.14,257.12,648.93,0.3962214723,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,15,Vir Heroicus Sublimis,2016,957,33,American,Male,White,Not Hispanic or Latinx,8.4,19,12,9.2,,,159.6,110.4,0,110.4,270,646.7,0.4175042524,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,16,Vir Heroicus (Sublime Heroic Man),2020,965,33,American,Male,White,Not Hispanic or Latinx,8.5,19,11.7,9.3,,,161.5,108.81,0,108.81,270.31,651.84,0.4146876534,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,4,Handball,1959,725,34,American,Male,White,Not Hispanic or Latinx,10,13.9,5,6.1,,,139,30.5,0,30.5,169.5,371.3,0.4565041745,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,5,Handball,1970,712,34,American,Male,White,Not Hispanic or Latinx,8.8,12.1,4,6.9,,,106.48,27.6,0,27.6,134.08,471.845,0.2841611122,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,6,Handball,1975,744,34,American,Male,White,Not Hispanic or Latinx,8.9,11.9,5,7,,,105.91,35,0,35,140.91,468.05,0.3010575793,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,7,Handball,1980,834,34,American,Male,White,Not Hispanic or Latinx,9,12,9.5,8.4,,,108,79.8,0,79.8,187.8,568.48,0.3303546299,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,8,Handball,1986,916,34,American,Male,White,Not Hispanic or Latinx,8.8,12,9.5,8.4,,,105.6,79.8,0,79.8,185.4,578.76,0.3203400373,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,9,The Passion of Sacco and Vanzetti,1991,1023,34,American,Male,White,Not Hispanic or Latinx,15.1,8.4,21.3,8.4,,,126.84,178.92,0,178.92,305.76,616.5,0.4959610706,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Shahn,10,The Passion of Sacco and Vanzetti,1996,1086,34,American,Male,White,Not Hispanic or Latinx,15.7,8.8,16.4,9,,,138.16,147.6,0,147.6,285.76,586.42,0.4872957948,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,7,The Death of General Wolfe,1980,711,35,American,Male,White,Not Hispanic or Latinx,9.9,14,10,8.4,,,138.6,84,0,84,222.6,568.48,0.3915705038,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,8,The Death of General Wolfe,1986,795,35,American,Male,White,Not Hispanic or Latinx,8.9,12.3,10.7,8.4,,,109.47,89.88,0,89.88,199.35,578.76,0.3444432926,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
